©Çª«¦WºÙ	µ¥¯Å 	¥Í©R­È	°òÂ¦¸gÅç	±¼¸¨ª««~
Wild Boar (¶ÂªÎªÎ)	25	550	42	Orange Potion (¾ï¦âÃÄ¤ô)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Blue Potion (ÂÅ¦âÃÄ¤ô)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Warrior Potion (§ðÀ»ÃÄ¤ô)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Wild Boar Tooth (¶ÂªÎªÎ¦y¤ú)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Leather (°Êª«¥Ö)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Stiff Feather (°íµwªº¦Ð¤ò)
Wild Boar (¶ÂªÎªÎ)	25	550	42	The Summoning Rock (¥l³ê¥Û)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Adamantium Ore (¦¶Äq¥Û¥ÀÄq)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Opal Ore (³J¥Õ¥Û¥ÀÄq)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Broken Mirror Glass (Ãè¤l¸H¤ù)
Crimson Stirge (¨ªÁl½¿½»)	26	600	66	Red Starry Bandana (¬õ¬PÀY¤y)
Crimson Stirge (¨ªÁl½¿½»)	26	600	66	Brown Bamboo Hat (½Å¦â¤æ²Á)
Crimson Stirge (¨ªÁl½¿½»)	26	600	66	Red Wizardry Hat (¬õ¦âªk®v´U)
Crimson Stirge (¨ªÁl½¿½»)	26	600	66	Green Bamboo Hat (ºñ¦â¦Ë´U)
Crimson Stirge (¨ªÁl½¿½»)	26	600	66	Blue Bamboo Hat (ÂÅ¦â¤æ²Á)
Crimson Stirge (¨ªÁl½¿½»)	26	600	66	Purple Bamboo Hat (µµ¦â¦Ë´U)
Crimson Stirge (¨ªÁl½¿½»)	26	600	66	Black Dragon Robe (¶ÂÀs³T)
Crimson Stirge (¨ªÁl½¿½»)	26	600	66	Red Avenger (¬õ­¸¼v¥Ò)
Crimson Stirge (¨ªÁl½¿½»)	26	600	66	Bronze Mischief («C»Éµs¸é¤â®M)
Crimson Stirge (¨ªÁl½¿½»)	26	600	66	Scroll for Helmet for DEX 60% (ÀY²¯±Ó±¶¨÷¶b60%)
Crimson Stirge (¨ªÁl½¿½»)	26	600	66	Crimson Stirge Wing (¨ªÁl½¿½»¯Í»H)
Crimson Stirge (¨ªÁl½¿½»)	26	600	66	Stiff Feather (°íµwªº¦Ð¤ò)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Great Red Helmet (¬õ¦â¾Ô°«ÀY²¯)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Cat's Eye (¿ß²´¦ÕÀô)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Yellow Square (¤è§Î¦ÕÀô)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Red Hwarang Shirt (¬õÀsªA)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Green Bennis Chainmail (ºñ¥´ÂyªA)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Green Avelin (ºñ¦â®È¦æªA)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Green Bennis Chainmail (ºñ¥´ÂyªA)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Gold Sneak (ºñ±Ó±¶¤§ªA)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	White Crusader Chainmail (¥Õ¤Q¦rÂê¤l¥Ò)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	White Wizard Robe (¥Õªª®vªø³T)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Blue Engrit (ÂÅÅ@¨­ñZ¥Ò)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Khaki Shadow Pants (¾ðªL¤§¿Ç)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Gold Sneak Pants (ºñ±Ó±¶¿Ç)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Bennis Chainpants (¥´Ây¿Ç)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Cutlus (Ås¤M)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Mithril Maul (¾YÄqÁè)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Forked Spear (¤T¤äºj)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Norman Grip (¿Õ°Ò«üªê)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Orange Potion (¾ï¦âÃÄ¤ô)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	White Potion (¥Õ¦âÃÄ¤ô)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Blue Potion (ÂÅ¦âÃÄ¤ô)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Speed Potion (³t«×ÃÄ¤ô)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Scroll for Gloves for Defense 100% (¤â®M¨¾¿m¤O 100% ±²¶b)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Scroll for Two-Handed Sword for Accuracy 100% (Âù¤â¼C©R¤¤¨÷¶b100%)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Scroll for Pole Arm for ATT 10% (¥Ù§ðÀ»¨÷¶b10%)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Evil Eye Tail (¤õ¿W²´Ã~¤§§À¤Ú)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Silver Ore (»Èªº¥ÀÄq)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Sapphire Ore (ÂÅÄ_¥Û¥ÀÄq)
Evil Eye (¤õ¿W²´Ã~)	27	720	50	Diamond Ore (Æp¥Û¥ÀÄq)
Fairy (Fierry) (½¹½ººë)	30	800	120	Orange Potion (¾ï¦âÃÄ¤ô)
Fairy (Fierry) (½¹½ººë)	30	800	120	Blue Potion (ÂÅ¦âÃÄ¤ô)
Fairy (Fierry) (½¹½ººë)	30	800	120	All Cure Potion (¸U¯àÀø¶ËÃÄ)
Fairy (Fierry) (½¹½ººë)	30	800	120	Antidote (¸Ñ¬r¾¯)
Fairy (Fierry) (½¹½ººë)	30	800	120	Eyedrop (²´ÃÄ¤ô)
Fairy (Fierry) (½¹½ººë)	30	800	120	Tonic (ºë¤O¾¯)
Fairy (Fierry) (½¹½ººë)	30	800	120	Holy Water (¸t¤ô)
Fairy (Fierry) (½¹½ººë)	30	800	120	Fierry's Tentacle (½¹½ººëªºÄ²¨¤)
Fairy (Fierry) (½¹½ººë)	30	800	120	Mithril Ore (¾YÄq¥Û¥ÀÄq)
Fairy (Fierry) (½¹½ººë)	30	800	120	Opal Ore (³J¥Õ¥Û¥ÀÄq)
Fire Boar (¤õªÎªÎ)	32	1000	60	Red Matty (¬õ¬PÅ]ªk´U)
Fire Boar (¤õªÎªÎ)	32	1000	60	Green Burgler (ºñ¨¾­·´U)
Fire Boar (¤õªÎªÎ)	32	1000	60	Green Hwarang Shirt (ºñÀsªA)
Fire Boar (¤õªÎªÎ)	32	1000	60	Brown Pollard (½Å¦âµL³SªA)
Fire Boar (¤õªÎªÎ)	32	1000	60	Brown Martial Arts Pants (¶ÀªZ¿Ç)
Fire Boar (¤õªÎªÎ)	32	1000	60	Red Hunter Boots (¬õ¥´Ây¾c)
Fire Boar (¤õªÎªÎ)	32	1000	60	Black Salt Shoes (¶Â¦uÅ@¾c)
Fire Boar (¤õªÎªÎ)	32	1000	60	Red Silky Boots (¬õÀAµ·¾c)
Fire Boar (¤õªÎªÎ)	32	1000	60	Gold Sylvia (¶Àª÷¼É­·¤â®M)
Fire Boar (¤õªÎªÎ)	32	1000	60	Blue Lutia (ÂÅ¦uÅ@¤â®M)
Fire Boar (¤õªÎªÎ)	32	1000	60	Wolbi Throwing-Stars (°j±ÛÃð)
Fire Boar (¤õªÎªÎ)	32	1000	60	Kumbi Throwing-Stars (³·ªáÃð)
Fire Boar (¤õªÎªÎ)	32	1000	60	Korean Fan (¤Ó·¥®°)
Fire Boar (¤õªÎªÎ)	32	1000	60	Mithril Wand (¾YÄqµu§ú)
Fire Boar (¤õªÎªÎ)	32	1000	60	Crystal Wand (¤ô´¹µu§ú)
Fire Boar (¤õªÎªÎ)	32	1000	60	Ryden (¹p¹q)
Fire Boar (¤õªÎªÎ)	32	1000	60	Heckler (Âù©¶©¸)
Fire Boar (¤õªÎªÎ)	32	1000	60	Silver Guardian (»È¦uÅ@®±®M)
Fire Boar (¤õªÎªÎ)	32	1000	60	Orange Potion (¾ï¦âÃÄ¤ô)
Fire Boar (¤õªÎªÎ)	32	1000	60	White Potion (¥Õ¦âÃÄ¤ô)
Fire Boar (¤õªÎªÎ)	32	1000	60	Blue Potion (ÂÅ¦âÃÄ¤ô)
Fire Boar (¤õªÎªÎ)	32	1000	60	Leather (°Êª«¥Ö)
Fire Boar (¤õªÎªÎ)	32	1000	60	Fire Boar's Tooth (¤õªÎªÎ¦y¤ú)
Fire Boar (¤õªÎªÎ)	32	1000	60	The Summoning Rock (¥l³ê¥Û)
Fire Boar (¤õªÎªÎ)	32	1000	60	Steel Ore (¿ûÅK¥ÀÄq)
Fire Boar (¤õªÎªÎ)	32	1000	60	Mithril Ore (¾YÄq¥Û¥ÀÄq)
Fire Boar (¤õªÎªÎ)	32	1000	60	Garnet Ore (¥Ûºh¥Û¥ÀÄq)
Fire Boar (¤õªÎªÎ)	32	1000	60	Diamond Ore (Æp¥Û¥ÀÄq)
Ligator (Æs³½)	32	1200	60	White Oceania Cap (¥Õ¦â»·¬v´U)
Ligator (Æs³½)	32	1200	60	Red Amoria Top (¬õ¯«¸tªk¦ç)
Ligator (Æs³½)	32	1200	60	Yellow Engrit (¶ÀÅ@¨­ñZ¥Ò)
Ligator (Æs³½)	32	1200	60	Red Amoria Skirt (¬õ¯«¸t¸È)
Ligator (Æs³½)	32	1200	60	Brown Moon Pants (¶À¤ë¿Ç)
Ligator (Æs³½)	32	1200	60	Mithril Trigger (ÂÅÅKÀY¾c)
Ligator (Æs³½)	32	1200	60	Steel Arbion (¿ûÅK°lÀ»¤â®M)
Ligator (Æs³½)	32	1200	60	Green Marker (ºñÀ»¤¤¤â®M)
Ligator (Æs³½)	32	1200	60	Steel Tower Shield (¿ûÅK¤è¬Þ)
Ligator (Æs³½)	32	1200	60	Plunger (³q³q¼Ö)
Ligator (Æs³½)	32	1200	60	Gephart (·t¼v¤b)
Ligator (Æs³½)	32	1200	60	Mithril Maul (¾YÄqÁè)
Ligator (Æs³½)	32	1200	60	Zeco (Âù¤Ñ´u)
Ligator (Æs³½)	32	1200	60	Surfboard (½Ä®öªO)
Ligator (Æs³½)	32	1200	60	Black Surfboard (¶Â¦â½Ä®öªO)
Ligator (Æs³½)	32	1200	60	White Potion (¥Õ¦âÃÄ¤ô)
Ligator (Æs³½)	32	1200	60	Blue Potion (ÂÅ¦âÃÄ¤ô)
Ligator (Æs³½)	32	1200	60	Elixir (¯S®íÃÄ¤ô)
Ligator (Æs³½)	32	1200	60	Scroll for Cape for Defense 10% (©Ü­·¨¾¿m¤O 10% ±²¶b)
Ligator (Æs³½)	32	1200	60	Dark Scroll for Cape for Defense 70% (¶Â·t©Ü­·¨¾¿m¤O 70% ±²¶b)
Ligator (Æs³½)	32	1200	60	Scroll for Knuckler for ATT 10% («üªê§ðÀ»¤O 10% ±²¶b)
Ligator (Æs³½)	32	1200	60	Ligator Skin (Æs³½¥Ö)
Ligator (Æs³½)	32	1200	60	The Magic Rock (Å]ªk¥Û)
Ligator (Æs³½)	32	1200	60	Mithril Ore (¾YÄq¥Û¥ÀÄq)
Ligator (Æs³½)	32	1200	60	AquaMarine Ore (®üÂÅ¥Û¥ÀÄq)
Ligator (Æs³½)	32	1200	60	Alligator Skin Pouch(Æs³½¥Ö­²³U)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Red Duke (¬õ¦âªZ¤hÀY²¯)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Green Matty (ºñ¬PÅ]ªk´U)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Dark Burgler (¶Â¨¾­·´U)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Red Hwarang Shirt (¬õÀsªA)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Black Knucklevest (¶Â·t¼v¤§ªA)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Brown Piette (½Å¶Q±Ú¤§ªA)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Blue Calas (ÂÅÅ]ªk¾Ô¤h¦ç)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Blue Moonlight (ÂÅ¦â¤ë¥úªA)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Black Martial Arts Pants (¶ÂªZ¿Ç)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Black Knucklevest Pants (¶Â·t¼v¤§¿Ç)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Brown Piette Pants (½Å¶Q±Ú¿Ç)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Purple Shadow Pants (¾ðªL¤§¿Ç)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Split Bullet (¤l¼u)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Lollipop (´Î´ÎªG)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Nakamaki (¨ëºj)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Prime Hands (ºë¿û®±®M)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Silver Maiden (§Q¤b®±®M)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Lunar Shooter (»È¤ë¯«®g)
Curse Eye (­·¿W²´Ã~)	35	1250	70	White Potion (¥Õ¦âÃÄ¤ô)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Blue Potion (ÂÅ¦âÃÄ¤ô)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Sniper Potion (©R¤¤ÃÄ¤ô)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Scroll for Bow for ATT 10% (¤}§ðÀ»¨÷¶b10%)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Scroll for Gun for ATT 10% (¤õºj§ðÀ»¨÷¶b10%)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Scroll for Gun for ATT 60% (¤õºj§ðÀ»¨÷¶b60%)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Curse Eye Tail (­·¿W²´Ã~¤§§À¤Ú)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Blackbull's deed to the land (­©ªøªº¦a«´)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Orihalcon Ore (µµÄq¥Û¥ÀÄq)
Curse Eye (­·¿W²´Ã~)	35	1250	70	Topaz Ore (¶À´¹¥ÀÄq)
Jr. Boogie (¥®Å]ºëÆF)	35	1700	150	White Potion (¥Õ¦âÃÄ¤ô)
Jr. Boogie (¥®Å]ºëÆF)	35	1700	150	Blue Potion (ÂÅ¦âÃÄ¤ô)
Jr. Boogie (¥®Å]ºëÆF)	35	1700	150	Jr. Boogie Horn (¥®Å]ºëÆFªº¨¤)
Jr. Boogie (¥®Å]ºëÆF)	35	1700	150	Power Crystal Ore (¤O¶q¥ÀÄq)
Jr. Boogie (¥®Å]ºëÆF)	35	1700	150	Wisdom Crystal Ore (´¼¼z¥ÀÄq)
Jr. Boogie (¥®Å]ºëÆF)	35	1700	150	Dexterous Crystal Ore (±Ó±¶¤ô´¹¥ÀÄq)
Jr. Boogie (¥®Å]ºëÆF)	35	1700	150	Lucky Crystal Ore (©¯¹B¤ô´¹¥ÀÄq)
Jr. Boogie (¥®Å]ºëÆF)	35	1700	150	Steel Ore (¿ûÅK¥ÀÄq)
Jr. Boogie (¥®Å]ºëÆF)	35	1700	150	Garnet Ore (¥Ûºh¥Û¥ÀÄq)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Dark Piette (¶Â¶Q±Ú¤§ªA)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Dark Crusader Chainmail (¶Â¤Q¦rÂê¤l¥Ò)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Blue Avenger (ÂÅ­¸¼v¥Ò)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Dark Engrit (¶ÂÅ@¨­ñZ¥Ò)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Red Moon Shoes (¬õ¤ë¾c)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Red Pierre Shoes (¬õºëÆF¾c)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Orihalcon Arbion (µµÄq°lÀ»¤â®M)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Dark Noel (¶Â¯«¸t¤â®M)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Mithril Scaler (¾YÄq¦W¤}¤â®M)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Mokbi Throwing-Stars (¶Â¦â§Q¤b)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Niam (ºñ³D¤M)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Battle Bow (¾Ô°«¤})
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Adamantium Avarice (¦¶ÄqÅ@µÃ)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Shooting Star (¬y¬P)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	White Potion (¥Õ¦âÃÄ¤ô)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Scroll for Helmet for Defense 10% (ÀY²¯¨¾¿m¤O 10% ±²¶b)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Scroll for Helmet for DEX 100% (ÀY²¯±Ó±¶¨÷¶b100%)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Scroll for Shoes for Mobility 100% (¾c¤l²¾°Ê³t«× 100% ±²¶b)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Scroll for Dagger for ATT 60% (µu¼C§ðÀ»¨÷¶b60%)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Tablecloth (®à¥¬)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Power Crystal Ore (¤O¶q¥ÀÄq)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Adamantium Ore (¦¶Äq¥Û¥ÀÄq)
Jr. Wraith (¤p«ÕÆF)	35	1200	70	Opal Ore (³J¥Õ¥Û¥ÀÄq)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Dark Piette (¶Â¶Q±Ú¤§ªA)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Purple Shadow (ªáºë¤§¼v)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	White Crusader Chainmail (¥Õ¤Q¦rÂê¤l¥Ò)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Blue Starlight (ÂÅ¬P¥úªø³T)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Dark Piette Pants (¶Â¶Q±Ú¿Ç)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Purple Shadow Pants (¾ðªL¤§¿Ç)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Dark Trigger (¶ÂÅKÀY¾c)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Blue Pierre Shoes (ÂÅºëÆF¾c)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Brown Locote Shoes (½Å¦â¬¥¥d¯S¾c)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Dark Noel (¶Â¯«¸t¤â®M)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Dark Cleave (¶Âµs¸é¤â®M)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Adamantium Tower Shield (¦¶Äq¤è¬Þ)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Sky Blue Umbrella (ÂÅ¦â«B³Ê)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Black Tube
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Red Flowery Tube (¬õªá¯¾´åªa°é)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Blue Flowery Tube (ÂÅ¦âªá¯¾ºÞ)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Purple Tube (µµ¦âºÞ)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Korean Fan (¤Ó·¥®°)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Circle-Winded Staff (­·½üªø§ú)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Mithril Pole Arm (¾YÄq´u)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Green Surfboard (ºñ¦â½Ä®öªO)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Black Surfboard (¶Â¦â½Ä®öªO)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Ryden (¹p¹q)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Neozard (¥§¶ø¥¾¼w·´·À®±®M)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	White Potion (¥Õ¦âÃÄ¤ô)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Blue Potion (ÂÅ¦âÃÄ¤ô)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Scroll for Helmet for INT 100% (ÀY²¯´¼¤O¨÷¶b100%)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Scroll for Topwear for LUK 100% (¤W¦ç©¯¹B¨÷¶b100%)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Scroll for Shoes for Mobility 10% (¾c¤l²¾°Ê³t«× 10% ±²¶b)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Scroll for Dagger for ATT 60% (µu¼C§ðÀ»¨÷¶b60%)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Scroll for Knuckler for ATT 10% («üªê§ðÀ»¤O 10% ±²¶b)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Lorang Claw (¬õ¿ÀÃÉ¹X)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	The Summoning Rock (¥l³ê¥Û)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Orihalcon Ore (µµÄq¥Û¥ÀÄq)
Lorang (¬õ¿ÀÃÉ)	37	1950	80	Garnet Ore (¥Ûºh¥Û¥ÀÄq)
Lupin (µU¤l)	37	1500	77	Brown Jester (½Å¦â³N¤h´U)
Lupin (µU¤l)	37	1500	77	Dark Pole-Feather Hat (¶Â¦ÐÁl¤T¨¤´U)
Lupin (µU¤l)	37	1500	77	Blue Guise (ÂÅ°²­±´U)
Lupin (µU¤l)	37	1500	77	Dark Legolier (¶Â¦uÅ@¤§ªA)
Lupin (µU¤l)	37	1500	77	Purple Steal (µµ±IÀR¤§ªA)
Lupin (µU¤l)	37	1500	77	Light Mantis (¦Ç­¸¼v¤§ªA)
Lupin (µU¤l)	37	1500	77	Sapphire Fitted Mail (ÂÅÄ_¥ÛñZ¥Ò)
Lupin (µU¤l)	37	1500	77	Dark Legolier Pants (¶Â¦uÅ@¤§¿Ç)
Lupin (µU¤l)	37	1500	77	Purple Steal Pants (µµ±IÀR¸È)
Lupin (µU¤l)	37	1500	77	Black Yellow-Lined Shoes (¶À¬y¬P¾c)
Lupin (µU¤l)	37	1500	77	Gold Moon Shoes (¶À¤ë¾c)
Lupin (µU¤l)	37	1500	77	Brown Leather Krag (½Å¦â¦yÀY¥Ö¾c)
Lupin (µU¤l)	37	1500	77	Brown Jeweled (½Å¦âÄ_¥Û¤â®M)
Lupin (µU¤l)	37	1500	77	Mithril Tower Shield (¾YÄq¤è¬Þ)
Lupin (µU¤l)	37	1500	77	Snowball (³·²y)
Lupin (µU¤l)	37	1500	77	Kumbi Throwing-Stars (³·ªáÃð)
Lupin (µU¤l)	37	1500	77	Eloon (¤Ó¶§¼C)
Lupin (µU¤l)	37	1500	77	Aluminum Baseball Bat (¾T²y´Ò)
Lupin (µU¤l)	37	1500	77	Dark Avarice (¶ÂÅ@µÃ)
Lupin (µU¤l)	37	1500	77	White Potion (¥Õ¦âÃÄ¤ô)
Lupin (µU¤l)	37	1500	77	Blue Potion (ÂÅ¦âÃÄ¤ô)
Lupin (µU¤l)	37	1500	77	Scroll for Cape for Defense 60% (©Ü­·¨¾¿m¤O 60% ±²¶b)
Lupin (µU¤l)	37	1500	77	Scroll for Pole Arm for Accuracy 10% (ªø¬`ªZ¾¹©R¤¤²v 10% ±²¶b)
Lupin (µU¤l)	37	1500	77	Leather (°Êª«¥Ö)
Lupin (µU¤l)	37	1500	77	Lupin Doll (µU¤l«½«½)
Lupin (µU¤l)	37	1500	77	Lupin's Banana (­»¿¼)
Lupin (µU¤l)	37	1500	77	Stiff Feather (°íµwªº¦Ð¤ò)
Lupin (µU¤l)	37	1500	77	Silver Ore (»Èªº¥ÀÄq)
Lupin (µU¤l)	37	1500	77	Emerald Ore (¯ª¥Àºñ¥ÀÄq)
Lupin (µU¤l)	37	1500	77	Opal Ore (³J¥Õ¥Û¥ÀÄq)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Gold Nordic Helm (¶Àª÷¿Õ°ÒÀY²¯)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Pink Moon Conehat (¬õ¦âÅ]ªk´U)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Red Distinction (¬õ¦Ðµ·µ³´U)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Brown Distinction (½Å¦Ðµ·µ³´U)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Cat's Eye (¿ß²´¦ÕÀô)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Red Shadow (¤õµK¤§¼v)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Dark Hunter's Pants (¶Â¹C«L¤§¿Ç)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Red Shadow Pants (·É®ü¤§¿Ç)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Red Salt Shoes (¬õ¦uÅ@¾c)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Emerald Hildon Boots (¯ª¥Àºñ±N­x¹u)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Pink Goldwind Shoes (¯»¬õ¶Àª÷­·)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Brown Moon Gloves (¶À¤ë¤â®M)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Mokbi Throwing-Stars (¶Â¦â§Q¤b)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Icicle (¦B¬W)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Niam (ºñ³D¤M)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Eagle Crow (ÆN©¸)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Dark Guardian (¶Â¦uÅ@®±®M)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Dark Avarice (¶ÂÅ@µÃ)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	White Potion (¥Õ¦âÃÄ¤ô)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Blue Potion (ÂÅ¦âÃÄ¤ô)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Mana Elixir (¬¡¤OÃÄ¤ô)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Scroll for Helmet for Defense 60% (ÀY²¯¨¾¿m¤O 60% ±²¶b)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Scroll for Pole Arm for Accuracy 60% (ªø¬`ªZ¾¹©R¤¤²v 60% ±²¶b)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Cold Eye Tail (¦B¿W²´Ã~¤§§À¤Ú)
Cold Eye (¦B¿W²´Ã~)	40	2000	85	Steel Ore (¿ûÅK¥ÀÄq)
